CHEQUENO,PRICE
1,$2898.15
2,$3089.53
3,$1061.51
4,$3452.73
5,$4057.53
6,$4423.84
7,$4143.11
8,$2234.10
9,$4064.16
10,$4454.61
11,$900.56
12,$251.03
13,$1431.62
14,$1241.63
15,$3659.55
16,$3548.70
17,$996.22
18,$1728.27
19,$1313.83
20,$3029.56
21,$2720.65
22,$1966.43
23,$4139.07
24,$4208.04
25,$4797.37
26,$244.80
27,$4628.98
28,$1239.18
29,$54.90
30,$2776.98
31,$125.16
32,$88.33
33,$2201.01
34,$1597.77
35,$916.12
36,$3531.90
37,$1781.59
38,$1553.81
39,$4156.63
40,$4727.53
41,$4473.35
42,$1072.98
43,$1302.70
44,$1572.52
45,$4992.74
46,$617.94
47,$451.61
48,$3557.97
49,$380.70
50,$266.94
51,$1096.38
52,$4325.59
53,$1454.67
54,$2856.12
55,$2952.25
56,$3954.90
57,$3369.28
58,$1026.83
59,$1755.24
60,$4451.57
61,$1717.40
62,$2171.69
63,$2312.87
64,$842.95
65,$3112.21
66,$4223.61
67,$3895.95
68,$4679.12
69,$3607.85
70,$3068.33
71,$444.26
72,$3354.15
73,$4914.79
74,$2743.94
75,$165.86
76,$4989.42
77,$2937.49
78,$3967.58
79,$3047.70
80,$1648.46
81,$4185.53
82,$4212.72
83,$4608.43
84,$4919.34
85,$1653.81
86,$1547.45
87,$1745.96
88,$4992.74
89,$1026.83
90,$1572.52
91,$3607.85
92,$1966.43
93,$2776.98
94,$2856.12
95,$1553.81
96,$54.90
97,$3369.28
98,$1431.62
99,$1302.70
100,$3452.73
